face 539 162 602 238
face 799 164 842 215 difficult
face 486 232 503 254 difficult
face 239 232 262 264 difficult
face 193 238 214 263 difficult
face 162 246 177 269 difficult
face 139 248 153 264 difficult
face 315 231 349 270 difficult
face 421 247 442 270 difficult
face 294 242 308 258 difficult
face 119 244 131 258 difficult
face 101 252 109 262 difficult
face 219 250 229 264 difficult
face 356 238 371 259 difficult
face 409 240 422 256 difficult
face 860 233 879 257 difficult
face 976 184 1014 229 difficult
face 744 238 768 268 difficult
face 704 245 721 266 difficult
face 692 246 706 263 difficult
face 669 241 676 250 difficult
face 679 240 687 250 difficult
face 648 241 655 251 difficult
face 584 239 611 269 difficult
face 618 253 629 265 difficult
face 510 244 524 260 difficult
face 459 249 467 257 difficult
face 477 251 482 257 difficult
face 391 256 396 261 difficult
